Genome,Bi_BB1_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB1_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB1_1_host_removed_R1.fastq.gz RPKM,Bi_BB1_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB1_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB1_2_host_removed_R1.fastq.gz RPKM,Bi_BB2_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB2_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB2_1_host_removed_R1.fastq.gz RPKM,Bi_BB2_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB2_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB2_2_host_removed_R1.fastq.gz RPKM,Bi_BB3_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB3_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB3_1_host_removed_R1.fastq.gz RPKM,Bi_BB3_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BB3_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BB3_2_host_removed_R1.fastq.gz RPKM,Bi_BP_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_BP_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BP_1_host_removed_R1.fastq.gz RPKM,Bi_BP_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_BP_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_BP_2_host_removed_R1.fastq.gz RPKM,Bi_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_CM_1_host_removed_R1.fastq.gz RPKM,Bi_CM_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_CM_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_CM_2_host_removed_R1.fastq.gz RPKM,Bi_FG_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_FG_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_FG_1_host_removed_R1.fastq.gz RPKM,Bi_FG_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_FG_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_FG_2_host_removed_R1.fastq.gz RPKM,Bi_MB_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_MB_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_MB_1_host_removed_R1.fastq.gz RPKM,Bi_MB_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_MB_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_MB_2_host_removed_R1.fastq.gz RPKM,Bi_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_ML_1_host_removed_R1.fastq.gz RPKM,Bi_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_ML_2_host_removed_R1.fastq.gz RPKM,Bi_PI_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_PI_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_PI_1_host_removed_R1.fastq.gz RPKM,Bi_PI_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_PI_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_PI_2_host_removed_R1.fastq.gz RPKM,Br_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Br_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_CM_1_host_removed_R1.fastq.gz RPKM,Br_CM_2_host_removed_R1.fastq.gz Trimmed Mean,Br_CM_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_CM_2_host_removed_R1.fastq.gz RPKM,Br_FG_1_host_removed_R1.fastq.gz Trimmed Mean,Br_FG_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_FG_1_host_removed_R1.fastq.gz RPKM,Br_FG_2_host_removed_R1.fastq.gz Trimmed Mean,Br_FG_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_FG_2_host_removed_R1.fastq.gz RPKM,Br_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Br_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Br_ML_1_host_removed_R1.fastq.gz RPKM,Br_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Br_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Br_ML_2_host_removed_R1.fastq.gz RPKM,Bt_CM_1_host_removed_R1.fastq.gz Trimmed Mean,Bt_CM_1_host_removed_R1.fastq.gz Relative Abundance (%),Bt_CM_1_host_removed_R1.fastq.gz RPKM,Bt_MB_2_host_removed_R1.fastq.gz Trimmed Mean,Bt_MB_2_host_removed_R1.fastq.gz Relative Abundance (%),Bt_MB_2_host_removed_R1.fastq.gz RPKM,Bt_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bt_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bt_ML_1_host_removed_R1.fastq.gz RPKM,Bt_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bt_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bt_ML_2_host_removed_R1.fastq.gz RPKM,Bv_BP_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_BP_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_BP_2_host_removed_R1.fastq.gz RPKM,Bv_ML_1_host_removed_R1.fastq.gz Trimmed Mean,Bv_ML_1_host_removed_R1.fastq.gz Relative Abundance (%),Bv_ML_1_host_removed_R1.fastq.gz RPKM,Bv_ML_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_ML_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_ML_2_host_removed_R1.fastq.gz RPKM,Bv_PI_1_84_host_removed_R1.fastq.gz Trimmed Mean,Bv_PI_1_84_host_removed_R1.fastq.gz Relative Abundance (%),Bv_PI_1_84_host_removed_R1.fastq.gz RPKM,Bv_PI_2_host_removed_R1.fastq.gz Trimmed Mean,Bv_PI_2_host_removed_R1.fastq.gz Relative Abundance (%),Bv_PI_2_host_removed_R1.fastq.gz RPKM,Bi_KP1_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP1_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP1_1_host_removed_R1.fastq.gz RPKM,Bi_KP1_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP1_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP1_2_host_removed_R1.fastq.gz RPKM,Bi_KP2_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP2_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP2_1_host_removed_R1.fastq.gz RPKM,Bi_KP2_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP2_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP2_2_host_removed_R1.fastq.gz RPKM,Bi_KP3_1_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP3_1_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP3_1_host_removed_R1.fastq.gz RPKM,Bi_KP3_2_host_removed_R1.fastq.gz Trimmed Mean,Bi_KP3_2_host_removed_R1.fastq.gz Relative Abundance (%),Bi_KP3_2_host_removed_R1.fastq.gz RPKM
maxbin2_Br_ML_1_bin.004,0,0,0,0,0,0,0,0,0,0,0,0,1.915545,0.03357798,0.14957303,0.3480994,0.07242255,1.3338385,16.871405,0.7628911,6.5217624,15.345952,0.668674,4.762588,60.22885,1.3717487,7.806149,0.82272416,0.109802805,1.1220073,7.585948,0.20092198,0.66209805,82.238945,3.900046,35.754196,1.863576,0.05783268,0.19052503,3.6605344,0.33683723,2.7742424,120.35324,4.829905,32.766094,89.84642,2.157923,8.037866,0,0,0,0,0,0,30.316921,0.84522015,11.292347,40.281147,19.167603,42.800484,18.65513,3.8879976,14.380128,50.930756,15.968768,39.773487,64.664566,17.466967,48.560318,41.56864,18.602394,42.401123,0,0,0,6.078763,0.32372865,1.2893325,0,0,0,0,0,0,0.3755981,0.18982477,19.08126,0,0,0,0,0,0,0.2977911,0.30651408,21.200653,0,0,0,0,0,0,24.549969,1.6644363,13.245237,0,0,0,116.24629,5.0995355,30.68016,0.20744161,0.06861694,0.80673695,36.39534,1.4752104,9.025774
maxbin2_Br_FG_2_bin.004,0,0,0,0,0,0,0,0,0,0.058436316,0.041876584,1.0153122,0,0,0,0,0,0,0,0,0,2.1200728,0.24166003,1.580269,3.7967982,0.28169543,1.4764278,0.28171352,0.07122105,0.6544401,0,0,0,0,0,0,0.088924706,0.061114363,0,0.71037334,0.19962585,1.5047553,0.42792633,0.06396756,0.4098868,0.38004282,0.08783627,0.31303152,0,0,0,0,0,0,2.1973722,0.094000585,1.2508533,10.273113,3.399148,6.715555,4.053771,0.9438185,3.1070776,21.063118,4.2417774,9.215171,12.939798,3.3198419,8.354591,12.630491,4.1163282,8.269931,0,0,0,0,0,0,0,0,0,0,0,0,0.5745013,0.1674678,15.64173,0.4485475,0.121905535,15.09009,0.44042224,0.100307755,3.280493,0.37888318,0.23036411,14.88499,0.5081479,0.18340424,16.600647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concoct_Bi_BP_1_bin_25_sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.793674,2.3365319,20.661375,2.8981996,0.1308121,0.97132057,0,0,0,0,0,0,0,0,0,0.46111652,0.030119421,0.29043123,0.14913502,0.006764706,0.023031574,7.13198,0.54352957,4.5511594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3344107,0.2152399,19.408905,9.965147,0.641148,76.28151,0,0,0,0.27188262,0.064722754,4.0439825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Bt_MB_2_bin.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.702324,4.659676,41.7717,61.453125,6.0713964,44.91239,290.55215,7.7160473,45.40393,1.9069215,4.7237277,47.187145,8.714135,0.43437985,1.4891748,69.83034,7.762981,74.75181,0.3139169,0.33509508,1.1580713,3.2028267,3.2276647,27.730434,27.79438,3.8894615,27.980528,7.9477863,0.673244,2.652241,0,0,0,0,0,0,1.9350009,0.94618845,13.048362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56297624,3.0652537,52.83265,154.4136,2.5506582,10.41345,1.1063669,4.7078357,77.56346,0.95825326,3.6529922,66.52806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.96438,4.695651,46.509697,39.05229,5.341522,44.41813,0,0,0,0.43471745,2.4105291,15.497477,0.0707541,3.86325,41.505135,14.971049,3.2766523,21.219774
metabat2_Bi_BB3_2_bin_.3,13.621931,1.1362323,16.89858,60.803757,5.3754725,87.24193,0.71060705,0.034104865,0.7399659,0.44104353,0.04818424,1.1654454,1408.8978,19.399158,90.37658,47.33372,3.5784838,62.3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56605047,0.08348246,0.81802744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.37668,2.224916,21.931353,17.587328,1.0910815,9.144699,0.10976549,0.023122638,0.36396444,29.666456,1.2131957,7.7173715,0,0,0,1.6003733,0.09748991,0.6305734
metabat2_Bi_FG_1_bin_.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.73295,1.9144822,14.224957,471.594,9.819442,59.001106,0.43728888,0.04159513,0.40950733,27.939014,0.65396285,2.2777705,0,0,0,4.6617827,0.11837416,0.40694743,0.42631212,0.04235297,0.3586184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Bi_ML_2_bin.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.14543,16.304234,156.0204,15.057413,4.188179,35.332943,57.050846,2.7910256,18.297277,23.325966,9.402688,105.07964,28.323748,0.8883676,3.1518753,6.188988,5.5240355,62.0338,0.59166414,0.81257164,3.0893219,2.0090165,6.4900713,63.784004,388.8966,17.509636,128.64908,337.0228,8.682712,34.72021,0,0,161.7058,0,0,185.19981,21.141119,0.93975794,12.999798,0,0,0,0,0,0,0,0,0,0.13899933,0.18724921,0.51812845,0,0,0,0,0,0,93.86083,2.98943,12.408169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.3193,16.250847,165.74582,80.644005,8.862287,79.32463,24.393032,9.439662,166.87361,536.4869,23.44754,150.03929,0.8347013,7.221967,88.36816,768.2192,29.550081,190.35919
maxbin2_Bt_MB_2_bin.001,0,0,16.873951,0,0,0,0.08686569,0.42042956,9.242881,0.28157312,1.4270879,35.11447,0.27919167,0.034689605,0.16239008,0.31467167,0.9606122,17.155737,2.9899533,1.1538773,10.368827,2.5106766,0.7314265,5.4189343,6.9535832,0.4304229,2.5258389,0.74550366,1.3675282,13.641218,1.1624537,0.06844581,0.23206522,11.352425,1.5833871,15.076854,0.42329374,0.10424828,0.36140665,1.0533676,1.217307,10.415936,13.686567,1.4175261,9.892155,8.854327,0.50478977,1.9142262,0.14906143,2.6368697,23.615625,0,0,0,2.288675,0.2349355,3.142945,0,0,0,0,0,0,0,0,0,0.8102228,0.38285333,1.0126289,0,0,0,7.8452864,5.3055916,90.17835,446.48666,8.17368,32.37897,11.288355,6.208815,101.960434,11.334665,6.8099003,122.311424,0.19091809,0.49410298,46.578022,0.15909113,0.40855163,50.80931,0.19672596,0.15378764,5.263522,0,0,48.550793,0.2095188,0.54765236,49.65759,0.15635195,0.82019323,8.185505,3.8322096,1.0510219,8.712611,0.12879333,1.1699934,18.592646,13.152188,1.4516246,8.928635,0.11226898,1.0866764,11.5978565,5.321797,0.8622335,5.469525
maxbin2_Bi_FG_1_bin.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.91106,12.209017,121.52844,166.02762,11.048672,86.46237,748.7288,17.370636,104.524994,2.3628082,10.467719,118.52917,90.94521,2.3023818,8.004706,94.73419,11.526232,121.52996,3.0922916,0.76863414,2.980928,3.6961021,8.606013,83.448975,120.047066,9.588162,73.69153,58.56658,3.19657,13.373874,0,0,0,0,0,0,5.147862,0.16618867,2.304017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02805,0.44004908,1.8339114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0094,8.726116,93.652275,185.1566,16.212189,140.78668,0,0,0,0.58899105,4.371965,30.89946,0.10093855,9.328667,112.10677,22.804085,4.5454683,32.38174
concoct_Bi_KP3_2_bin_22_sub,1.6797787,0.59383774,8.850251,1.0471454,0.44693306,7.273911,0.27556884,0.32652396,7.133514,0,0,0,6.866766,0.26819754,1.2558976,0.93831956,0.32964298,5.765154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.194387,0.89045346,13.982924,39.719147,2.3074613,14.70496,0.1978839,0.28057215,2.9819646,38.58379,2.625017,16.980759
maxbin2_Br_CM_1_bin.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.735699,0.20114763,1.7667897,9.631091,0.50985634,3.7394354,61.109634,1.5982288,9.442739,0,0,0,0.46123585,0.016896226,0.05781851,5.756835,0.30066538,2.8530257,0.8302723,0.03099991,0.10516725,3.587898,0.4279099,3.576881,2.8940759,0.18366328,1.2990235,9.157844,0.2676887,1.0390235,0,0,0,0,0,0,113.02505,3.7893257,54.193947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08862499,0.098495625,1.6647536,15.389489,0.5916651,2.4309542,0,0,0,0,0,0,0,0,0,0,0,0,0.2681914,0.042645775,1.3587788,0,0,0,0,0,0,0,0,0,0,0,0,1.1094806,0.1356026,2.0944612,7.6444316,0.40818465,2.5487597,0,0,0,0,0,0
maxbin2_Bt_MB_2_bin.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.835424,0.9229804,8.276164,1.4079626,0.15439764,1.1591301,5.1807528,0.26570585,1.6072558,1.2173362,0.16017315,1.5857826,1.6038393,0.067496344,0.23490404,0.25463918,0.037038762,0.365334,0,0,0,0.10621894,0.064178504,0.5571217,21.17009,1.3876637,9.942725,8.223161,0.36753178,1.4603626,0.10348262,0.0748265,0.678689,0,0,0,65.87372,1.9927213,27.71112,0.11623155,0.06049479,0.13234957,0,0,0,0,0,0,0.90382355,0.32183632,0.86943674,0,0,0,0,0,0,3686.8796,57.336033,238.69151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.261067,1.2048268,11.874544,85.39533,5.3003855,44.20174,1.2638918,0.21445748,3.3803167,29.275944,2.1356344,13.601379,0,0,0,42.748432,2.911569,18.753824
metabat2_Bi_BB1_1_bin_.6_sub,13.346435,1.1157118,16.437237,7.6949205,0.69862163,11.240886,0.34540406,0.0218817,0.480894,0,0,0,41.727413,0.68256384,3.1688704,5.093679,0.39947814,6.903317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.744612,0.19351698,3.0200877,7.547156,0.36920375,2.3376806,0,0,0,6.4876566,0.29358637,1.8797266
maxbin2_Bv_ML_2_bin.003,214.08112,17.989096,262.03094,151.97113,13.820092,219.67755,304.75262,11.794601,250.43654,83.72541,7.186854,170.54362,378.88495,5.298767,24.163345,128.23602,10.056006,171.8513,28.85456,1.4680796,12.99764,147.90692,5.8617263,42.696056,72.147644,1.605706,9.463469,26.672771,2.1121957,20.51209,5.901266,0.15780349,0.53938323,39.320557,2.011878,19.175436,0.33169463,0.042332284,0.14700477,19.877161,1.830813,15.330183,133.90405,5.261966,36.98576,29.208652,0.7403718,2.8714426,80.25544,11.797336,102.41812,62.54736,14.917962,154.67397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8245,4.9860234,83.981125,0,0,0,0,0,0,0.21960165,0.20115249,3.8258395,0.55257934,0.4360593,45.495487,0.52883106,0.3361995,46.709843,99.44407,8.541115,284.30286,0.39661923,0.60892934,43.86222,0.58291,0.4727248,47.442528,25.353775,1.8527708,18.013664,34.6354,2.405184,19.841175,38.292553,3.701109,57.144485,125.293785,5.347106,33.30612,115.92286,8.448336,87.81063,130.10901,5.079381,32.08865
maxbin2_Bt_MB_2_bin.002,0,0,0,0,0,0,0,0,0,0.20361523,1.6951549,41.09505,0,0,0,0.16758081,1.201774,21.021805,1.1475774,1.1676643,10.478276,3.5458174,0.95066863,6.9637074,14.854116,0.86539876,5.0281773,0.2318731,1.4847685,14.663255,0.1271575,0.04828721,0.16532287,1.5894794,1.0660558,10.310334,0.40627515,0.13799383,0.47112423,1.6724257,1.5702527,13.23516,1.0283326,0.78130317,5.571703,2.1424665,0.26318404,1.0159801,0.102451414,3.0818799,27.336588,0,0,0,3.2225873,0.20518526,2.749787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.778075,5.2573643,99.1622,717.8969,11.746405,46.71,10.332907,7.8127785,143.49881,9.959902,7.152419,136.09206,0.37920523,0.35580292,35.428497,0.3495351,0.2857911,37.710926,5.398058,0.4843953,15.134816,0.25190333,0.5539382,37.39225,0.3833917,0.49162456,46.09736,0,0,0,0,0,0,0.3864554,1.4389281,22.583612,1.6801875,0.7242259,4.552622,0,0,0,0.086156875,0.57939875,3.738791
metabat2_Bi_MB_1_bin_.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33274055,0.055330627,0.4994419,71.335365,2.8106427,20.862371,275.3342,5.932802,35.64442,0,0,0,0,0,0,0.5819717,0.07118103,0.6926098,15.676132,0.39199325,1.3438756,58.29602,4.2617655,36.030098,0.6921647,0.13475284,0.9734987,1.8402247,0.10402007,0.4139843,0,0,0,0,0,0,21.675398,0.6049557,8.431585,0,0,0,0,0,0,0,0,0,0,0,0,1.7213043,0.46012348,0.99469143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13452682,0.054333292,0.858132,1.0826676,0.15601459,0.9994899,0,0,0,0,0,0
concoct_Bi_FG_1_bin_16_sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.855178,0.6211832,5.514591,43.81443,1.74406,12.760685,4.974156,0.6991857,4.124951,0.3932328,0.08145835,0.7980941,15.185965,0.42327082,1.4529094,0.9149695,0.17598017,1.6701541,0.39315605,0.99579734,3.3791728,4.378665,0.392606,3.280178,1.263296,0.1823984,1.3016707,0.45561722,0.47072527,1.8317927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44104075,0.0564018,5.039219,0.77540034,0.07200566,8.570177,0,0,0,0.14410235,0.04119563,2.5483372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxbin2_Br_CM_1_bin.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.67134,1.9730825,29.295626,0,0,0,19.676888,1.9914352,6.932329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabat2_Bi_ML_2_bin_.9,2.0280712,0.18579577,2.7693763,0.6716935,0.10110001,1.653567,88.85368,3.4689238,75.44552,5.181717,0.44557905,10.801573,0,0,0,0,0,0,26.158846,1.0438057,9.371496,11.884624,0.46423644,3.456671,55.102924,1.1559905,6.961766,5.7371836,0.37885043,3.732112,0.5099506,0.016422434,0.05728959,39.724487,1.7303724,16.761963,3.9614856,0.10204721,0.35148206,18.64275,1.3471667,11.424179,90.27641,3.2930453,23.636734,54.05111,1.2082727,4.7626505,0,0,0,0,0,0,48.696743,1.1928585,16.665464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.763436,0.91364324,9.03219,25.743292,1.5748926,13.227189,0,0,0,59.261616,2.4928582,15.890335,58.77356,4.09378,43.505608,7.3985853,0.3200552,2.0695817
concoct_Br_ML_2_bin_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16934209,0.030579073,0.2610539,24.835625,1.1068665,7.898464,84.810036,2.1435287,12.379644,0,0,0,0.08107137,0.00754634,0,1.4530715,0.12914214,1.1816652,2.936702,0.09160516,0.30206835,19.008726,1.6244687,13.201123,0.46473366,0.07031984,0.4868088,3.3457544,0.13649333,0.5105372,0,0,0,0,0,0,7.3868785,0.2558893,3.423013,0,0,0,0,0,0,0,0,0,0,0,0,7.718503,1.8754159,3.8654559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17379522,0.03937861,1.1791083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabat2_Bi_FG_2_bin_.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.594475,0.7002354,6.260404,25.447573,1.1555377,8.549514,194.99731,4.42488,26.476889,0.3932633,0.07435476,0.7332315,1.9565004,0.056215644,0.19552891,23.713545,1.096306,10.556534,1.9331142,0.058950774,0.20170236,7.791172,0.73561764,6.2001753,11.978992,0.5862581,4.203885,33.56766,0.8276065,3.2554293,0,0,0,0,0,0,19.77614,0.61641985,8.539891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7550058,0.44021848,7.539833,15.531941,0.5953736,2.4797547,0,0,0,0,0,0,0,0,0,0,0,0,0.27265063,0.036180392,1.1356554,0,0,0,0,0,0,0,0,0,0,0,0,4.476636,0.5665162,8.903862,33.022587,1.7239345,10.956225,1.2767675,0.44198865,4.6998453,0,0,0
maxbin2_Br_CM_1_bin.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52817,1.11765,10.020208,2.366946,0.23952305,1.7912974,8.294963,0.41329283,2.4981756,1.6558837,0.16776203,1.6495732,2.3730261,0.0848378,0.29573324,0.37800893,0.032717887,0.31782132,0,0,0,0.17588584,0.065433025,0.5601438,30.831629,1.7218086,12.343333,12.23267,0.46845058,1.8638078,0,0,0,0,0,0,475.17358,11.911303,167.01262,0,0,0,0,0,0,0,0,0,0.60916317,0.24046876,0.6490339,0,0,0,0,0,0,490.89163,9.010345,37.71198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8469305,1.4422417,14.220756,31.049128,2.1544046,18.061754,1.7046933,0.24036095,3.7769237,40.53434,2.553608,16.283278,0,0,0,57.671516,3.3532593,21.622152
metabat2_Bi_MB_2_bin_.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.84423,4.5900207,34.11811,267.07526,5.536173,33.281086,0,0,0,0,0,0,0,0,0,9.752239,0.2440174,0.8394605,36.922863,2.7079,22.940697,0,0,0,0,0,0,0,0,0,0,0,0,40.4628,1.0735925,14.986415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
